candidate_id,layer_count,sources_per_layer_mean,radius,z_extent,angular_offset_fraction,orientation_alpha,eig_smooth_background,eig_center_weak_target,eig_eccentric_roi_target,eig_weighted,eig_weighted_minmax,eig_weighted_zscore
cand_0200,2,24.0,1.419517752917683,0.5932709854265663,0.43029489548757527,0.3381328541757412,3.392143487930298,3.429157018661499,3.4738683700561523,3.430733472108841,0.700203857329149,1.451940052691384
cand_0012,3,16.0,1.3564907353458786,0.47813221188968047,0.10560641442819373,0.8490754602335203,3.394643783569336,3.4289302825927734,3.4698667526245117,3.430234360694885,0.6991990067775231,1.4473436628674359
cand_0008,3,16.0,1.2526072930935053,0.2192831033093509,0.19766881010523443,0.4792478401565754,3.3916079998016357,3.4238951206207275,3.469787836074829,3.4275097608566285,0.6937136270128476,1.4222524254789033
cand_0192,2,24.0,1.3032276891752548,0.28782083775738865,0.1339245643136343,0.18585118165682907,3.38895583152771,3.42462420463562,3.471238136291504,3.4272898018360136,0.6932707881255376,1.4202267907693569
cand_0177,3,16.0,1.3458714517912365,0.5689087928101244,0.24499884063261704,0.5831622205682654,3.388546943664551,3.4223599433898926,3.4675562381744385,3.425214189291,0.6890920008798447,1.4011121720417594
cand_0119,3,16.0,1.3768006983311858,0.5257490129629043,0.9091545116223121,0.09812221019815323,3.382208824157715,3.416269063949585,3.463754177093506,3.4197806417942047,0.6781527535559525,1.351073840471131
cand_0164,2,24.0,1.280727929288676,0.21286510027389668,0.31305670057179846,0.8312025017617993,3.383941888809204,3.418060779571533,3.4599838256835938,3.419744157791138,0.6780793010770431,1.3507378539644244
cand_0220,3,16.0,1.313797833775487,0.28583540721013645,0.9255811579392773,0.8722653013119466,3.3815314769744873,3.4164516925811768,3.4559316635131836,3.417060607671738,0.6726765658512094,1.3260246494253767
cand_0115,4,12.0,1.3044169497174924,0.4989391384665681,0.2121685588817135,0.20919907294870163,3.3794543743133545,3.41263747215271,3.4614195823669434,3.416877573728561,0.6723080674485984,1.3243390631407679
cand_0178,3,16.0,1.2854234063183148,0.4482918571143718,0.2055331263129547,0.17564947146520932,3.379023790359497,3.4126479625701904,3.460613965988159,3.4164684534072878,0.671484394078249,1.3205714144176772
cand_0037,2,24.0,1.3419031491640556,0.3030603237474891,0.05801542851644756,0.6946330869026972,3.375952959060669,3.412379264831543,3.4511120319366455,3.4122182071208957,0.6629274622870541,1.281430276319456
cand_0235,4,12.0,1.2864571071816837,0.47655091592323906,0.8188679192459234,0.3201903755351837,3.3749513626098633,3.4085826873779297,3.455596685409546,3.4120912730693815,0.6626719086208431,1.2802613221212977
cand_0169,3,16.0,1.334537108698984,0.44287957599584993,0.5933436380320474,0.8198083992320055,3.376465082168579,3.4098238945007324,3.4506163597106934,3.411405861377716,0.6612919836237325,1.273949265861521
cand_0040,3,16.0,1.4311309477493626,0.534499326622734,0.980545426774121,0.7926087764608121,3.374377965927124,3.4099864959716797,3.4486591815948486,3.410092133283615,0.6586470823789761,1.2618509521898267
cand_0005,2,24.0,1.3879481994342857,0.3778377059490622,0.0036385647776520117,0.8668999065601145,3.36810040473938,3.406053304672241,3.4424149990081787,3.4045873403549196,0.6475643981198754,1.2111565110431985
cand_0113,2,24.0,1.485487705916605,0.5890106763913968,0.8984758245135709,0.8345961707386134,3.365189790725708,3.403033971786499,3.442533016204834,3.402625697851181,0.6436150643702186,1.1930914590522097
cand_0069,3,16.0,1.2927635680073168,0.21981146975224025,0.5335522621700595,0.6216781353998448,3.3646631240844727,3.396782398223877,3.442488193511963,3.400395035743714,0.6391241190892566,1.172548966284584
cand_0185,4,12.0,1.3006929881810418,0.37484288337537996,0.4381418149290306,0.8121235817066396,3.360762357711792,3.3947653770446777,3.436230182647705,3.396340382099152,0.6309609698655232,1.1352090693589922
cand_0213,4,12.0,1.2748873266310607,0.23133663181139852,0.4636888481209391,0.49806299126272807,3.3601431846618652,3.3912782669067383,3.437466621398926,3.3953922033309936,0.6290520214191787,1.12647715275804
cand_0159,2,24.0,1.465078706411458,0.5148827381424296,0.9693619866946174,0.7083015903799467,3.3560640811920166,3.393770217895508,3.4311513900756836,3.392721951007843,0.6236760583678999,1.1018864095646015
cand_0076,4,12.0,1.327591879713861,0.5816314122799078,0.9332026927439709,0.7165937799071361,3.354381799697876,3.3901610374450684,3.4334094524383545,3.391694039106369,0.6216065848749327,1.0924202189070826
cand_0165,3,16.0,1.3790946315229393,0.557854458908136,0.24820024323220735,0.5410983847890614,3.3542892932891846,3.3880486488342285,3.4332172870635986,3.3909126818180084,0.6200334946183842,1.0852245856503249
cand_0024,3,16.0,1.3293366681395986,0.420327105240498,0.16148985332762025,0.049553304418718004,3.35172700881958,3.3859238624572754,3.4334983825683594,3.389416682720184,0.6170216309810329,1.0714477117147532
cand_0061,2,24.0,1.4426398159334535,0.4563580838450083,0.9476631441592421,0.7261008539619321,3.352268934249878,3.3902816772460938,3.4277710914611816,3.3891612768173216,0.616507427628427,1.0690956414954225
